gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,2,GodOfChess,web,ko,TRUE,FALSE,갓 오브 체스,ko
,,,,th,,,เทพหมากรุก,th
,,,,vn,,,Chúa cờ vua,vn
,,,,id,,,Dewa Catur,id
,,,,pt-br,,,Deus do Xadrez,pt-br
,,,,zh-cn,,,棋圣,zh-cn
,,,,en,,,God Of Chess,en
slot,10,LuckyBats,web,ja,TRUE,FALSE,五福临门,zh-cn
,,,,en,,,ลัคกี้ แบท,th
,,,,zh-cn,,,Kelelawar Mujur,id
,,,,ko,,,Chú dơi may mắn,vn
,,,,pt-br,,,럭키 뱃,ko
,,,,es,,,Morcegos de Sorte,pt-br
,,,,th,,,Bates de la suerte,es
,,,,id,,,五福臨門,ja
,,,,vn,,,Lucky Bats,en
slot,35,Crazy NuoZha,web,vn,TRUE,FALSE,CRAZY NUOZHA,vn
,,,,id,,,CRAZY NUOZHA,id
,,,,pt-br,,,Nuozha Louca,pt-br
,,,,zh-cn,,,疯狂哪吒,zh-cn
,,,,en,,,Crazy Nuozha,en
,,,,ko,,,나타,ko
,,,,th,,,นาจาคลั่ง,th
slot,39,Apsaras,web,zh-cn,TRUE,FALSE,飞天,zh-cn
,,,,en,,,Apsaras,en
,,,,ko,,,압사라스,ko
,,,,th,,,นางอัปสร,th
,,,,vn,,,Apsaras,vn
,,,,id,,,Apsaras,id
,,,,pt-br,,,Apsaras,pt-br
slot,57,The Beast War,web,vn,TRUE,FALSE,Mythical Beings Melee,id
,,,,id,,,A Guerra das Feras,pt-br
,,,,pt-br,,,神兽争霸,zh-cn
,,,,zh-cn,,,The Beast War,en
,,,,en,,,더 비스트 워,ko
,,,,ko,,,สงครามสัตว์ในตำนาน,th
,,,,th,,,Cuộc chiến quái thú,vn
slot,54,Funny Alpaca,web,en,TRUE,FALSE,LẠC ĐÀ NGỘ NGHĨNH,vn
,,,,ko,,,FUNNY ALPACA,id
,,,,th,,,Alpaca Engraçada,pt-br
,,,,vn,,,火草泥马,zh-cn
,,,,id,,,Funny Alpaca,en
,,,,pt-br,,,퍼니 알파카,ko
,,,,zh-cn,,,อัลปากาสุขสันต์,th
slot,66,Fire777,web,ko,TRUE,FALSE,Fogo 777,pt-br
,,,,th,,,火爆777,zh-cn
,,,,vn,,,Fire 777,en
,,,,id,,,파이어 777,ko
,,,,pt-br,,,กงล้อเพลิง 777,th
,,,,zh-cn,,,Hỏa hoạn 777,vn
,,,,en,,,Fire 777,id
slot,69,FaCaiShen,web,vn,TRUE,FALSE,Fa Cai Shen,es
,,,,id,,,ฟาชัยเซ็น,th
,,,,en,,,Trò chơi Fa Cai Shen,vn
,,,,ko,,,福の神,ja
,,,,es,,,Fa Cai Shen,pt-br
,,,,th,,,发财神,zh-cn
,,,,ja,,,Fa Cai Shen,id
,,,,pt-br,,,Fa Cai Shen,en
,,,,zh-cn,,,재물신,ko
slot,70,WanBaoDino,web,th,TRUE,FALSE,완바오 다이너소어,ko
,,,,vn,,,ไดโนหวั่นเบ๋า,th
,,,,id,,,Wanbao Dino,vn
,,,,pt-br,,,Wanbao Dino,id
,,,,zh-cn,,,Wanbao Dino,pt-br
,,,,en,,,万饱龙,zh-cn
,,,,ko,,,Wanbao Dino,en
arcade,60,JungleParty,web,th,TRUE,FALSE,丛林舞会,zh-cn
,,,,vn,,,Jungle Party,en
,,,,id,,,정글 파티,ko
