gamecode,genre,gamename
77,Fantasy,RedPhoenix
78,Fantasy,Apollo
80,Fantasy,Poseidon
55,Fantasy,Dragon Heart
68,Fantasy,WuKong & Peaches
197,Fantasy,Dragon's Treasure
64,Fantasy,Zeus
AS17,Fantasy,Treasure of Seti
AS20,Fantasy,Queen Of Dead
154,Fantasy,Kronos
161,Fantasy,Heracles
171,Fantasy,Greek Gods
4,Fantasy,WildTarzan
89,Fantasy,Thor
AS03,Fantasy,Dragon Hunters
125,Fantasy,Zeus M
127,Fantasy,God of War M
3,Fantasy,VampireKiss
27,Fantasy,Magic World
29,Fantasy,WaterWorld
31,Fantasy,God of War
32,Fantasy,Detective Dee
38,Fantasy,All Wilds
42,Fantasy,Sherlock Holmes
202,Fantasy,OrientalBeauty
59,Fantasy,SummerMood
180,Fantasy,Gu Gu Gu 3
185,Fantasy,Dragon Ball
186,Fantasy,Fire Queen 2
195,Fantasy,Lord Ganesha
115,Fantasy,Snow Queen
116,Fantasy,Wonderland
117,Fantasy,5 God beasts
221,Fantasy,Detective Dee 2
184,Fantasy,Six Gacha
194,Fantasy,Fortune Dragon
211,Fantasy,King of Atlantis
177,Fantasy,Aladdin's lamp
220,Fantasy,Floating Market
222,Fantasy,Loy Krathong
