gamename,Game Code,RTP ,Volatility,
God Of Chess,GB16,96.20%,4,
Lucky Bats,243,96.19%,5,
Crazy Nuozha,AR80,94.13%,-,
Apsaras,242,96.12%,5,
The Beast War,BU31,96.00%,-,
Funny Alpaca,BU32,96.00%,-,animal
Fire 777,52,96.18%,4,
Fa Cai Shen,133,96.19%,3,
Wanbao Dino,7,96.18%,4,
Jungle Party,31,96.10%,3,
Happy Rich Year,50,96.19%,3,
Treasure Bowl,179,96.07%,5,
WonWonWon,105,96.18%,4,
Red Phoenix,64,96.18%,3,
Apollo,111,96.18%,4,
Poseidon,127,96.10%,3,
Mr. Bean,AT01,96.00%,-,
Dragon Heart,10,96.02%,2,
Wukong & Peaches,108,96.18%,4,
LuckyBoxes,109,96.18%,4,
Fire Queen,99,96.18%,4,
Treasure Bowl JP,AB3,97.00%,-,
Lucky Bats JP,137,96.18%,4,
Golden Eggs JP,160,96.19%,4,
World Cup Russia2018,125,96.18%,3,
RunningToro,9,96.10%,4,
Football Boots,138,96.18%,4,
Football Baby,205,96.18%,4,
All Star Team,139,96.13%,4,
Jumping Mobile,188,95.97%,4,
ChickyParmParm,140,96.00%,4,
Zuma Wild,201,96.10%,3,
Fa Cai Shen M,8,96.11%,4,
Flying Cai Shen,69,96.07%,4,
Sky Lanterns,5007,96.18%,4,
Flower Fortunes,12,96.05%,1,
Fortune Totem,123,96.02%,2,
5 Boxing,117,96.04%,2,
Shou-Xin,113,96.04%,3,
Thor 2,173,96.06%,3,
emma0714,183,96.16%,4,
Dragon's Treasure,79,96.13%,3,
Songkran Festival,118,96.00%,5,
test11250337,74,96.06%,3,
Money Tree,154,96.00%,3,
Thai HILO,60,96.00%,-,
The Cupids,182,96.19%,5,
Fruit King,15,96.13%,5,
Mr. Rich,230,96.09%,5,
So Sweet,5008,96.18%,4,
Treasure House,203,96.18%,5,
Super5,1010,96.17%,4,
Pub Tycoon,16,96.21%,4,
Gu Gu Gu 2,177,96.19%,3,
Zeus,89,95.96%,4,
DiscoNight,33,96.13%,4,
Treasure Island,131,96.07%,4,
Jump Higher,153,96.14%,4,
JewelLuxury,185,96.06%,4,
FruityCarnival,161,95.94%,4,
SkrSkr,229,96.16%,5,
Gold Stealer,147,96.00%,4,
Gu Gu Gu M,24,96.17%,1,
Running Animals,77,96.04%,5,
Disco Night M,GB14,96.04%,5,
Move n' Jump,228,96.10%,3,
Fire Chibi M,152,96.14%,5,
Fire Chibi 2,180,96.04%,5,
Xmas,58,95.97%,5,
Hephaestus,202,96.11%,4,
Fa Cai Fu Wa,116,96.09%,3,
Diamond Treasure,227,96.14%,5,
Oneshot Fishing,142,96.07%,5,
Pyramid Raider,143,96.09%,2,
Double Fly,1074,96.02%,3,
Six Candy,29,96.18%,2,
Kronos,83,96.02%,5,
Fa Cai Shen2,GB13,96.08%,5,
Ne Zha Advent,72,96.06%,3,
Hercules,115,96.06%,5,
Greek Gods,196,95.98%,3,
6 Toros,148,96.10%,5,
Wolf Disco,241,96.09%,5,
111,124,96%,5,
test11250332,70,96.07%,4,
Yaxing Live,BU01,96.20%,-,
Wild Tarzan,194,96.16%,4,
Zhong Kui,57,95.99%,3,
Sakura Legend,157,96.18%,3,
Great Lion,BU04,96.10%,-,
MuayThai,54,96.07%,4,
RaveHigh,186,96.14%,5,
Chameleon,CC1001,97.00%,-,
Thor,163,96.13%,3,
Rave Jump 2 M,187,96.08%,3,
Invincible Elephant,184,96.00%,5,
Zeus M,150,96.14%,4,
God of War M,GB9,96.08%,5,
WheelMoney,112,96.06%,3,
Gu Gu Gu 2 M,GB12,96.08%,5,
Good Fortune M,121,96.17%,1,
Vampire Kiss,68,96.91%,4,
Rave Jump,135,96.13%,5,
GuGuGu,146,96.01%,5,
Hot Spin,GO02,96.07%,3,
888,220,96.15%,5,
Big Wolf,GB15,96.20%,4,
Monkey Office Legend,27,96.18%,3,
Yuan Bao,67,96.91%,1,
Rave Jump2,128,97.00%,4,
777,225,96.12%,4,
Magic World,171,96.09%,5,
WaterWorld,5009,96.00%,4,
God of War,206,96.15%,5,
Detective Dee,46,96.27%,3,
Fire Chibi,39,96.03%,4,
Gophers War,129,95.97%,5,
All Wilds,AT05,96.00%,-,
Sherlock Holmes,38,96.03%,5,
Fruit King II,231,96.09%,5,
Wolf Moon,78,96.13%,3,
Pharaoh's Gold,1,96.26%,2,
Lonely Planet,GB5,96.04%,3,
Good Fortune,212,96.16%,5,
Ecstatic Circus,223,96.16%,2,
Jump High,3,96.01%,3,
OrientalBeauty,130,96.15%,3,
Golden Eggs,5,96.00%,5,
Paradise,208,96.15%,1,
Summer Mood,AR107,94.16%,-,
Gu Gu Gu 3,122,95.99%,2,
Jump High 2,226,96.14%,5,
Dragon Pachinko,42,96.11%,3,
CQ9 lottery,141,97.50%,3,
Dragon Ball,144,96.19%,5,
Fire Queen 2,211,96.17%,5,
Lord Ganesha,132,96.00%,5,
Tenfold Eggs,CC15,96.40%,-,
Alice Run,104,97.50%,5,
Jump Higher Mobile,4,96.01%,3,
Rave Jump Mobile,195,96.02%,4,
Fly Out,197,96.14%,2,
Snow Queen,17,96.02%,3,
Wonderland,CC09,96.43%,,
5 God beasts,218,96.19%,5,
Detective Dee 2,BU05,96.10%,-,
Lucky Bats M,81,95.98%,4,
Meow,20,95.91%,3,
LuckyFishing,AR81,94.03%,-,
Six Gacha,AR39,94.00%,-,
Banker Dice Bull-Bull,CC01,96.26%,-,
Wing Chun,35,96.04%,2,
Cricket Fever,136,96.00%,2,
Fortune Dragon,GB8,96.04%,4,
Peeking Banker Bull-Bull,59,96.09%,5,
Supercars,215,96.20%,1,
Da Fa Cai,102,97.50%,5,
Da Hong Zhong,23,95.99%,3,
Uproar in Heaven,219,96.18%,1,
Sweet POP,98,96.09%,3,
Oo Ga Cha Ka,BU29,96.00%,-,
Burning Xi-You,26,96.11%,5,
Mini Roulette,19,96.17%,1,
Ninja Raccoon,103,97.50%,5,
Dragon Ball Dozer,221,96.00%,4,
qatest0428,44,96.08%,3,
3 2 1 Go!,216,97.07%,1,
Hanuman Bingo,GB6,96.00%,3,
Hot Pinatas,224,96.14%,3,
King of Atlantis,BU16,96.10%,-,
Monster Hunter,AR20,94.03%,-,
Xoc Dia,80,96.06%,1,
Mahjong Fruit,86,96.05%,4,
Aladdin's lamp,51,96.18%,4,
Ganesha Jr.,55,95.99%,4,
Dollar Bomb,47,96.17%,4,
King Kong Shake,AR03,96.11%,-,
Floating Market,CC08,95.94%,,
Loy Krathong,BU27,96.00%,5,
Coin Spinner,BU07,96.11%,-,
Hero Fishing,2,96.26%,2,
Alice Run JP,32,96.19%,5,
Hot DJ,217,96.20%,1,
Dragon Koi,GB11,96.00%,1,
sportsbook,49,96.17%,2,
Acrobatics,13,96.16%,3,
Thai Fish Prawn Crab,AR41,94.00%,-,
Lucky Tigers,BU14,96.10%,-,
motivation,207,96.00%,1,
Mr. Miser,BU30,96.00%,-,
K.O. Island,AR23,94.94%,-,
qatest05,66,97.02%,3,
Thai Pok Deng,GO01,96.13%,1,
888 Cai Shen,AR12,94.24%,-,
Football Fever,AR11,94.12%,-,
Mirror Mirror,204,96.17%,1,
Night City,222,96.17%,3,
Myeong-ryang,213,96.00%,1,
Seotda,96,96.26%,2,
Baseball Fever,AR16,94.24%,-,
Football Fever M,199,96.16%,2,
Striker WILD,AR14,93.98%,-,
The Chicken House,34,96.06%,2,
Mummy's Treasure,BU22,96.11%,-,
Hero of the 3 Kingdoms - Cao Cao,BU21,96.10%,-,
Funky Bingo,214,96.18%,3,
Treasure Pirate,CC07,96.37%,-,
Mafia,61,96.50%,-,
CHICAGOⅡ,210,96.19%,5,
,BU26,96.03%,5,
,AR24,94.06%,-,
,AR17,94.24%,-,
,BU03,96.10%,-,
,AR09,93.96%,-,
,AR28,93.96%,-,
,BU15,95.90%,-,
,AR29,94.03%,-,
,209,96.13%,3,
,AR15,94.03%,-,
,BU28,96.49%,,
,AR08,94.21%,-,
,AR13,93.98%,-,
,CC02,96.10%,-,
,1067,96.17%,1,
,AR02,94.94%,-,
,36,96.05%,2,
,GB1,96.99%,1,
,BU08,96.07%,-,
,92,96.26%,2,
,21,96.19%,1,
,AR22,94.06%,-,
,BU12,96.10%,-,
,BU09,96.10%,-,
,CC03,96.37%,-,
,GB3,96.04%,5,
,BU06,96.00%,-,
,AS18,94.10%,-,
,AR07,94.15%,-,
,AR21,94.03%,-,
,95,97.00%,1,
,BU02,96.18%,-,
,22,96.19%,1,
,AR05,96.49%,-,
,AR01,94.24%,-,
,BU13,96.10%,-,
,AR18,94.13%,-,
,AR04,94.06%,-,
,BU20,96.10%,-,
,BU10,96.09%,-,
,AR25,94.06%,-,
,AR26,94.94%,-,
,GB2,96.08%,2,
,AS33,96.00%,-,
,76,97.00%,1,
,AR06,94.10%,-,
,200,96.05%,2,
,BU19,96.10%,-,
,BU24,96.11%,-,
,AR37,94.00%,-,
,GB198,96.16%,1,
,BU11,96.78%,-,
,AS08,92.30%,-,
,GO169,96.03%,5,
,1200,96.05%,2,
,BU23,96.10%,-,
,AS20,89.30%,-,
,GB10,96.00%,1,
,AS01,93.30%,-,
,AS17,94.90%,-,
,BU18,96.11%,-,
,AS04,92.30%,-,
,AS02,93.90%,-,
,BU25,96.11%,-,
,AS10,89.30%,-,
,AS03,93.00%,-,
,AS09,93%,-,
,AS19,89.30%,-,
,GB7,96.00%,5,
,BT02,96.00%,-,
,BT03,96.00%,-,
,CA01,N/A,N/A,
,GO03,97.00%,1,
,CE09,97.50%,0,
,CE02,97.03%,-,
