baccarat,slots,fishing,arcade,pvp,top-games,slots-treasure,slots-jump,slots-fantasy,slots-cute,slots-animals,slots-action,slots-sports,slots-music
GINKGO01,2,AT01,60,BT02,52,35,105,39,209,10,2,187,
CA01,10,AB3,61,BT03,7,69,99,77,1,57,66,,
,35,AT05,207,GO03,31,72,138,78,8,54,83,,
,39,GO02,GO169,,179,74,153,80,AS18,70,92,,
,57,,196,,127,76,121,55,AS19,1010,95,,
,54,,200,,105,204,7,68,102,86,96,,
,66,,AT101,,111,1074,24,197,135,104,98,,
,69,,213,,64,1067,52,64,139,122,157,,
,70,,GB14,,AT01,131,179,AS17,140,208,150,,
,72,,,,50,113,108,AS20,141,AS09,182,,
,74,,,,99,146,109,142,33,136,199,,
,76,,,,10,147,,154,44,173,16,,
,77,,,,,148,,161,206,183,36,,
,78,,,,,5,,171,GB2,17,205,,
,80,,,,,12,,4,225,79,118,,
,55,,,,,58,,89,,124,137,,
,68,,,,,81,,AS03,,AS33,152,,
,204,,,,,AS08,,125,,21,9,,
,83,,,,,AS10,,127,,22,13,,
,1074,,,,,103,,3,,34,201,,
,1010,,,,,130,,27,,46,203,,
,1067,,,,,143,,29,,49,AS02,,
,92,,,,,144,,31,,123,51,,
,86,,,,,112,,32,,132,187,,
,95,,,,,160,,38,,188,GB5,,
,96,,,,,163,,42,,214,223,,
,98,,,,,AS01,,202,,215,GB9,,
,105,,,,,128,,59,,219,229,,
,104,,,,,129,,180,,226,230,,
,122,,,,,133,,185,,241,GB13,,
,131,,,,,15,,186,,,231,,
,113,,,,,19,,195,,,GB15,,
,146,,,,,20,,115,,,,,
,147,,,,,23,,116,,,,,
,148,,,,,26,,117,,,,,
,157,,,,,47,,221,,,,,
,150,,,,,50,,184,,,,,
,182,,,,,67,,194,,,,,
,qatestemma0714,,,,,AS04,,5009,,,,,
,197,,,,,5007,,211,,,,,
,199,,,,,5008,,177,,,,,
,208,,,,,210,,GB6,,,,,
,209,,,,,212,,220,,,,,
,1,,,,,218,,222,,,,,
,5,,,,,GB3,,GB8,,,,,
,8,,,,,227,,228,,,,,
,12,,,,,GB12,,,,,,,
,16,,,,,242,,,,,,,
,36,,,,,,,,,,,,
,58,,,,,,,,,,,,
,64,,,,,,,,,,,,
,205,,,,,,,,,,,,
,81,,,,,,,,,,,,
,AS08,,,,,,,,,,,,
,AS09,,,,,,,,,,,,
,AS10,,,,,,,,,,,,
,AS17,,,,,,,,,,,,
,AS18,,,,,,,,,,,,
,AS19,,,,,,,,,,,,
,AS20,,,,,,,,,,,,
,99,,,,,,,,,,,,
,103,,,,,,,,,,,,
,102,,,,,,,,,,,,
,118,,,,,,,,,,,,
,130,,,,,,,,,,,,
,135,,,,,,,,,,,,
,136,,,,,,,,,,,,
,137,,,,,,,,,,,,
,138,,,,,,,,,,,,
,139,,,,,,,,,,,,
,140,,,,,,,,,,,,
,141,,,,,,,,,,,,
,142,,,,,,,,,,,,
,143,,,,,,,,,,,,
,144,,,,,,,,,,,,
,112,,,,,,,,,,,,
,152,,,,,,,,,,,,
,153,,,,,,,,,,,,
,154,,,,,,,,,,,,
,160,,,,,,,,,,,,
,163,,,,,,,,,,,,
,161,,,,,,,,,,,,
,171,,,,,,,,,,,,
,173,,,,,,,,,,,,
,183,,,,,,,,,,,,
,4,,,,,,,,,,,,
,9,,,,,,,,,,,,
,13,,,,,,,,,,,,
,17,,,,,,,,,,,,
,201,,,,,,,,,,,,
,203,,,,,,,,,,,,
,79,,,,,,,,,,,,
,89,,,,,,,,,,,,
,AS01,,,,,,,,,,,,
,AS02,,,,,,,,,,,,
,AS03,,,,,,,,,,,,
,121,,,,,,,,,,,,
,124,,,,,,,,,,,,
,125,,,,,,,,,,,,
,127,,,,,,,,,,,,
,128,,,,,,,,,,,,
,129,,,,,,,,,,,,
,133,,,,,,,,,,,,
,AS33,,,,,,,,,,,,
,3,,,,,,,,,,,,
,7,,,,,,,,,,,,
,15,,,,,,,,,,,,
,19,,,,,,,,,,,,
,20,,,,,,,,,,,,
,21,,,,,,,,,,,,
,22,,,,,,,,,,,,
,23,,,,,,,,,,,,
,24,,,,,,,,,,,,
,26,,,,,,,,,,,,
,27,,,,,,,,,,,,
,29,,,,,,,,,,,,
